Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Goa,1,122,Shri Shripad Yesso Naik,NORTH GOA,NORTH GOA,22.5,17.5,5,0.99,0,1,2013-2014,3/3/15,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Gujarat,1,123,Dr. Prabha Kishore Taviad,DAHOD(ST),DAHOD,19.08,19.08,0,0.16,0,2,2013-2014,13-02-2015,2.5,,,2009,2014,15
Gujarat,1,124,Shri Balkrishna Khanderao Shukla (Balu Shukla),VADODARA,VADODARA,19.08,19.08,0,3.75,0,2,2013-2014,12/1/16,2.5,,,2009,2014,15
Gujarat,1,125,Dr. Mahendrasinh P. Chauhan,SABARKANTHA,SABARKANTHA,19.08,19.08,0,0,0,2,2013-2014,14-10-2014,2.5,,,2009,2014,15
Gujarat,1,126,Dr. Kirit Premjibhai Solanki,AHMEDABAD WEST(SC),AHMEDABAD,21.58,19.08,2.5,0,0,2,2013-2014,29-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Gujarat,1,127,Shri Bharatbhai  Madhavsinh Solanki,ANAND,ANAND,21.58,19.08,2.5,1.63,0,2,2013-2014,6/8/15,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,128,Shri Dinsha J. Patel,KHEDA,KHEDA,19.08,19.08,0,0.44,0,2,2013-2014,26-09-2014,2.5,,,2009,2014,15
Gujarat,1,129,Shri Jagdish Thakor,PATAN,PATAN,21.58,19.08,2.5,0.11,0.27,2,2013-2014,26-12-2014,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,130,Shri Harin Pathak,AHMEDABAD EAST,AHMEDABAD,21.58,19.08,2.5,2.01,0,2,2013-2014,24-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,131,Shri Dinubhai Boghabhai Solanki,JUNAGADH,JUNAGADH,19.08,19.08,0,0,0,2,2013-2014,14-01-2016,2.5,,,2009,2014,15
Gujarat,1,132,Shri Haribhai p.Chaudhary,BANASKANTHA,BANASKANTHA,21.58,19.08,2.5,0.96,0,2,2013-2014,3/3/17,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Gujarat,1,133,Shri Lal Krishna Advani,GANDHINAGAR,GANDHINAGAR,21.58,16.58,5,0.05,0,1,2013-2014,2/2/16,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Gujarat,1,134,Shri Chandrakant Raghunath Patil,NAVSARI,NAVSARI,19.08,19.08,0,0,0,2,2013-2014,7/11/14,2.5,,,2009,2014,15
Gujarat,1,135,Shri Kishanbhai Vestabhai Patel,VALSAD(ST),VALSAD,19.08,19.08,0,1.07,0,2,2013-2014,3/6/14,2.5,,,2009,2014,15
Gujarat,1,136,Shri Mansukhbhai Dhanjibhai Vasava,BHARUCH,Bharuch,21.58,19.08,2.5,0,0,2,2013-2014,17-02-2015,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,137,Shri Kuvarjibhai Mohanbhai Bavalia,RAJKOT,RAJKOT,21.58,19.08,2.5,2.33,0,2,2013-2014,16-12-2014,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,138,Shri Naranbhai Kachhadiya,AMRELI,AMRELI,19.08,19.08,0,0.03,0,2,2013-2014,11/12/13,2.5,,,2009,2014,15
Gujarat,1,139,Shri Prabhatsinh Pratapsinh Chauhan,PANCHMAHAL,PANCHMAHALS,21.58,19.08,2.5,0.68,0,2,2013-2014,17-06-2014,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,140,Shri Rajendra Sinh Ghanashyam Sinh Rana,BHAVNAGAR,BHAVNAGAR,19.08,19.08,0,0.89,0,2,2013-2014,26-12-2014,2.5,,,2009,2014,15
Gujarat,1,141,Shri Ramsinh Patalyabhai Rathwa,CHHOTA UDAIPUR(ST),VADODARA,21.58,19.08,2.5,0.53,0,2,2013-2014,17-02-2015,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,142,Shri Vikrambhai Arjanbhai Maadam,JAMNAGAR,JAMNAGAR,19.08,19.08,0,-0.05,0,2,2013-2014,22-09-2014,2.5,,,2009,2014,15
Gujarat,1,143,Shri Vitthalbhai Hansrajbhai Radadiya,PORBANDAR,PORBANDAR,19.08,19.08,0,1.19,0,2,2013-2014,1/12/14,2.5,,,2009,2014,15
Gujarat,1,144,Shri Somabhai Gandalal Koli Patel,SURENDRANAGAR,SURENDRANAGAR,21.58,19.08,2.5,-0.06,0,2,2013-2014,13-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,145,Smt. Jayshreeben Patel,MAHESANA,MAHESANA,21.58,19.08,2.5,0.98,0,2,2013-2014,9/7/14,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,146,Smt. Poonam Veljibhai Jat,KACHCHH(SC),KACHCHH,21.58,19.08,2.5,1.36,0,2,2013-2014,5/2/16,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,147,Shri Tusharbhai A. Chaudhary,BARDOLI(ST),SURAT,21.58,19.08,2.5,0,0,2,2013-2014,10/12/14,2.5,3 / 2013-2014,,2009,2014,15
Gujarat,1,148,Smt. Darshana Vikram Jardosh,SURAT,SURAT,21.58,19.08,2.5,0,0,2,2013-2014,27-10-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Haryana,1,149,Dr. Arvind Kumar Sharma,KARNAL,KARNAL,21.5,19,2.5,0.39,0,2,2013-2014,28-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Haryana,1,150, Inderjit Rao Inderjit Singh,GURGAON,REWARI,19,19,0,0.35,0.35,2,2013-2014,30-12-2013,2.5,,,2009,2014,15
Haryana,1,151,Shri Ashok Tanwar,SIRSA(SC),SIRSA,19,19,0,-0.24,0,2,2013-2014,3/12/13,2.5,,,2009,2014,15
Haryana,1,152,Shri Avtar Singh Bhadana,FARIDABAD,FARIDABAD,19,19,0,0.24,0.75,2,2013-2014,5/12/13,2.5,,,2009,2014,15
Haryana,1,153, Kumari Selja,AMBALA (SC),AMBALA,21.5,19,2.5,1.92,3.93,2,2013-2014,28-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Haryana,1,154,Shri Deepender Singh Hooda,ROHTAK,ROHTAK,21.5,19,2.5,-0.05,0,2,2013-2014,28-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Haryana,1,155,Shri Kuldeep Bishnoi,HISAR,HISSAR,19,19,0,2.6,3.37,2,2013-2014,18-05-2015,2.5,,,2009,2014,15
Haryana,1,156,Shri Jitender Singh Malik,SONEPAT,SONEPAT,19,19,0,0.03,0,2,2013-2014,24-02-2014,2.5,,,2009,2014,15
Haryana,1,157,Shri Naveen Jindal,KURUKSHETRA,KURUKSHETRA,21.5,19,2.5,0.45,0.45,2,2013-2014,22-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Haryana,1,158,Smt. Shruti Choudhry,BHIWANI MAHENDRAGARH,BHIWANI,21.5,19,2.5,2.55,0,2,2013-2014,27-11-2013,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Himachal Pradesh,1,159,Dr. Rajan Sushant,KANGRA,KANGRA,21.5,19,2.5,0.58,0.58,2,2013-2014,8/1/14,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Himachal Pradesh,1,160,Shri Anurag Singh Thakur,HAMIRPUR,HAMIRPUR,21.5,19,2.5,0,4.33,2,2013-2014,11/10/13,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Himachal Pradesh,1,161, Pratibha Singh,MANDI,MANDI,,19,,0.37,0,,,,0,,,2009,2014,15
Himachal Pradesh,1,162,Shri Virender Kashyap,SHIMLA (SC),SHIMLA,19,19,0,1.1,0,2,2013-2014,30-12-2013,2.5,,,2009,2014,15
Himachal Pradesh,1,163,Shri Virbhadra Singh,MANDI,MANDI,19,19,0,0.37,0,2,2013-2014,11/12/13,2.5,,,2009,2014,15
Jammu & Kashmir,1,164,Dr. Mirza Mehboob Beg,ANANTNAG,ANANTNAG,21.5,19,2.5,0.36,0,2,2013-2014,10/2/15,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Jammu & Kashmir,1,165,Dr. Farooq Abdullah,SRINAGAR,SRINAGAR,22.5,17.5,5,-1.78,0,1,2013-2014,24-07-2014,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Jammu & Kashmir,1,166,Shri Chaudhary Lal Singh,UDHAMPUR,KATHUA,20,20,0,2.1,4.85,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Jammu & Kashmir,1,167,Shri Hassan Khan,LADAKH,LEH,24.5,22,2.5,2.93,3.35,2,2013-2014,21-10-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Jammu & Kashmir,1,168,Shri Madan Lal Sharma,JAMMU,JAMMU,21.5,19,2.5,-0.89,0,2,2013-2014,21-10-2013,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Jammu & Kashmir,1,169,Shri Sharifuddin Shariq,BARAMULLAH,BARAMULLAH,20,20,0,-1,0,2,2013-2014,8/9/14,2.5,,,2009,2014,15
Jharkhand,1,170,Dr. Ajay Kumar,JAMSHEDPUR,EAST SINGHBUM,19.14,19.14,0,0.29,0.79,2,2013-2014,26-02-2014,2.5,,,2009,2014,15
Jharkhand,1,171,Shri Babulal Marandi,KODARMA,GIRIDIH,21.64,19.14,2.5,7.5,8.3,2,2013-2014,9/7/14,2.5,3 / 2013-2014,,2009,2014,15
Jharkhand,1,172,Shri Inder Singh Namdhari,CHATRA,CHATRA,21.64,19.14,2.5,2.66,4.62,2,2013-2014,8/1/14,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Jharkhand,1,173,Shri Kameshwar Baitha,PALAMU(SC),PALAMAU,19.14,19.14,0,0.03,0,2,2013-2014,6/12/13,2.5,,,2009,2014,15
Jharkhand,1,174,Shri Karia Munda,KHUNTI(ST),KHUNTI,16.64,16.64,0,2.69,0,1,2013-2014,24-02-2014,2.5,,,2009,2014,15
Jharkhand,1,175,Shri Madhu Kora,SINGHBHUM(ST),CHAIBAS (W.SINGHBHUM),16.64,11.64,5,2.83,1.88,1,2012-2013,29-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Jharkhand,1,176,Shri Nishikant Dubey,GODDA,GODDA,21.64,16.64,5,1.1,4.99,1,2013-2014,28-02-2017,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Jharkhand,1,177,Shri Pashupati Nath Singh,DHANBAD,DHANBAD,21.64,19.14,2.5,0.24,1.23,2,2013-2014,11/11/13,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Jharkhand,1,178,Shri Sudarshan Bhagat,LOHARDAGA(ST),RANCHI,19.14,19.14,0,0.39,0.79,2,2013-2014,27-02-2014,2.5,,,2009,2014,15
Jharkhand,1,179,Shri Shibu Soren,DUMKA(ST),DUMKA,21.64,19.14,2.5,0.79,0,2,2013-2014,18-05-2015,2.5,3 / 2013-2014,,2009,2014,15
Jharkhand,1,180,Shri Ravindra Kumar Pandey,GIRIDIH,BOKARO,19.14,19.14,0,2.5,3.46,2,2013-2014,6/8/14,2.5,,,2009,2014,15
Jharkhand,1,181,SHRI. Devidhan Besra,RAJMAHAL(ST),SAHEBGANJ,21.64,11.64,10,0.34,0,2,2011-2012,27-11-2013,2.5,"1 / 2013-2014,2 / 2013-2014,2 / 2012-2013,3 / 2013-2014",,2009,2014,15
Jharkhand,1,182,Shri Subodh Kant Sahay,RANCHI,RANCHI,21.64,19.14,2.5,0.01,0.34,2,2013-2014,31-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Jharkhand,1,183,Shri Yashwant Sinha,HAZARIBAGH,HAZARIBAGH,21.64,19.14,2.5,1.23,2.62,2,2013-2014,1/3/14,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,184,Shri ananth Ananth Kumar,BANGALORE SOUTH,BENGALURU URBAN,22.11,19.61,2.5,0.17,3.36,2,2013-2014,13-02-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Karnataka,1,185,Shri Anant Kumar Dattatreya Hegde,UTTARA KANNADA,UTTAR KANNAD,22.11,19.61,2.5,1.49,4.87,2,2013-2014,30-01-2017,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,186,Dr. M. Veerappa Moily,CHIKBALLAPUR,CHIKBALLAPUR,22.11,19.61,2.5,1.71,0,2,2013-2014,7/5/15,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,187,Shri Adagooru H. Vishwanath,MYSORE,MYSORE,22.11,17.11,5,0.69,1,1,2013-2014,2/6/14,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Karnataka,1,188,Shri H. D. Kumaraswamy,BANGALORE RURAL,RAMANAGARA,22.11,19.61,2.5,1.22,0,1,2013-2014,28-02-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Karnataka,1,189,Shri G. S. Basavaraj,TUMKUR,TUMAKURU,22.11,17.11,5,-2.02,0,1,2013-2014,27-02-2017,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Karnataka,1,190,Shri D. B. Chandre Gowda,BANGALORE NORTH,BENGALURU URBAN,22.11,19.61,2.5,0.25,2.54,2,2013-2014,13-06-2014,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,191,Shri D.V.Sadananda Gowda/ Jayaprakash Hegde,UDUPI CHIKMAGALUR,UDUPI,22.11,19.61,2.5,1.98,0,2,2013-2014,25-05-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Karnataka,1,192,Shri H.D. Devegowda,HASSAN,HASSAN,22.11,19.61,2.5,1.22,1.7,2,2013-2014,10/12/14,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Karnataka,1,193,Shri Gowdar Mallikarjunappa Siddeshwara,DAVANAGERE,DAVANGERE,22.11,19.61,2.5,0.29,0,2,2013-2014,15-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,194,Shri K.H. Muniyappa,KOLAR(SC),KOLAR,22.11,17.11,5,4.68,0,1,2013-2014,28-02-2014,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Karnataka,1,195,Shri Janardhana Swamy,CHITRADURGA(SC),CHITRADURGA,22.11,19.61,2.5,1.39,1.15,2,2013-2014,9/7/14,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,196,Shri Nalin Kumar Kateel,DAKSHINA KANNADA,DAKSHIN KANNAD,19.61,19.61,0,0.44,0,2,2013-2014,18-02-2014,2.5,,,2009,2014,15
Karnataka,1,197,Shri Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,BAGALKOT,22.11,19.61,2.5,0.35,0.96,2,2013-2014,16-12-2014,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,198,Shri N. Chaluvaraya Swamy,MANDYA,MANDYA,14.61,14.61,0,2.39,3.12,1,2012-2013,16-12-2013,2.5,"1 / 2013-2014,2 / 2012-2013",,2009,2014,15
Karnataka,1,199,Shri Pralhad Venkatesh Joshi,DHARWAD,DHARWAR,19.61,17.11,2.5,0.71,1.98,1,2013-2014,10/7/14,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,200,Shri N. Dharam Singh,BIDAR,BIDAR,22.11,19.61,2.5,1.25,2.34,2,2013-2014,1/1/16,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Karnataka,1,201,Shri Mallikarjun Kharge,GULBARGA(SC),GULBARGA,22.11,19.61,2.5,0,0.2,2,2013-2014,23-06-2014,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,202,Shri P. C. Mohan,BANGALORE CENTRAL,BENGALURU URBAN,19.61,17.11,2.5,-2.63,0.06,1,2013-2014,17-12-2014,2.5,2 / 2013-2014,,2009,2014,15
Karnataka,1,203,Shri Ramesh Vishwanath Katti,CHIKKODI,BELAGAVI,22.11,19.61,2.5,0.31,0.31,2,2013-2014,26-12-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Karnataka,1,204,Shri Rangaswamy Dhruvanarayana,CHAMARAJANAGAR(SC),CHAMARAJNAGAR,19.61,19.61,0,0.95,1.41,2,2013-2014,18-02-2014,2.5,,,2009,2014,15
Karnataka,1,205,Shri Raghavendra Yeddyurappa,SHIMOGA,SHIVAMOGGA,19.61,17.11,2.5,-1.2,0.77,1,2013-2014,14-02-2014,2.5,2 / 2013-2014,,2009,2014,15
Karnataka,1,206,Shri Ramesh Chandappa Jigajinagi,BIJAPUR(SC),BIJAPUR,17.11,17.11,0,0.17,2.43,1,2013-2014,31-12-2014,2.5,,,2009,2014,15
Karnataka,1,207,Shri Shivkumar Chanabasappa Udasi,HAVERI,HAVERI,22.11,19.61,2.5,2.43,2.72,2,2013-2014,26-12-2014,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,208,Shri S. Pakkirappa,RAICHUR(ST),RAICHUR,22.11,19.61,2.5,0.04,0,2,2013-2014,15-01-2015,2.5,3 / 2013-2014,,2009,2014,15
Karnataka,1,209,Shri Suresh Chanabasappa Angadi,BELGAUM,BELAGAVI,22.11,19.61,2.5,1.85,1.85,2,2013-2014,6/9/16,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Karnataka,1,210,Shri Shivarama Gouda,KOPPAL,KOPPAL,22.11,17.11,5,-1.34,1.61,1,2013-2014,28-07-2014,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Karnataka,1,211,Smt. J. Shantha,BELLARY(ST),BALLARI,22.11,17.11,5,-1.83,2.55,1,2013-2014,2/2/18,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Kerala,1,212,Prof. K. Varkey Thomas,ERNAKULAM,ERNAKULAM,22.1,19.6,2.5,1.48,0,2,2013-2014,10/1/17,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Kerala,1,213,Dr. Sashi Tharoor,THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,22.1,19.6,2.5,1.79,0,2,2013-2014,2/7/14,2.5,3 / 2013-2014,,2009,2014,15
Kerala,1,214,Shri Anirudhan Sampath,ATTINGAL,THIRUVANANTHAPURAM,19.6,19.6,0,0.28,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Kerala,1,215,Shri Anto Antony,PATHANAMTHITTA,PATHANAMTHITTA,22.1,19.6,2.5,0.9,0,2,2013-2014,10/12/14,2.5,3 / 2013-2014,,2009,2014,15
Kerala,1,216,Shri Jose K. Mani,KOTTAYAM,KOTTAYAM,22.1,19.6,2.5,0.66,0,2,2013-2014,12/6/15,2.5,3 / 2013-2014,,2009,2014,15
Kerala,1,217,Shri E. T. Mohammed Basheer,PONNANI,MALAPPURAM,22.1,19.6,2.5,1.41,0,2,2013-2014,18-11-2014,2.5,3 / 2013-2014,,2009,2014,15
Kerala,1,218,Shri K. C. Venugopal,ALAPPUZHA,ALAPPUZHA,19.6,19.6,0,1.15,0,2,2013-2014,19-02-2014,2.5,,,2009,2014,15
Kerala,1,219,Shri Kumbakudi Sudhakaran,KANNUR,KANNUR,19.6,19.6,0,0.31,0,2,2013-2014,26-03-2015,2.5,,,2009,2014,15
Kerala,1,220,Shri E. Ahamed,MALAPPURAM,MALAPPURAM,19.6,19.6,0,0.57,0,2,2013-2014,18-11-2014,2.5,,,2009,2014,15
Kerala,1,221,Shri K. P. Dhanapalan,CHALAKUDY,ERNAKULAM,22.1,19.6,2.5,0.76,0,2,2013-2014,24-03-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Kerala,1,222,Shri M. B. Rajesh,PALAKKAD,PALAKKAD,19.6,19.6,0,0.98,0,2,2013-2014,25-06-2014,2.5,,,2009,2014,15
Kerala,1,223,Shri P. Karunakaran,KASARAGOD,KASARAGOD,19.6,19.6,0,1.88,0,2,2013-2014,28-04-2015,2.5,,,2009,2014,15
Kerala,1,224,Shri P. C. Chacko,THRISSUR,THRISSOOR,22.1,19.6,2.5,1.51,0,2,2013-2014,16-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Kerala,1,225,Shri M. I. Shanavas,WAYANAD,WAYANAD,19.6,19.6,0,0.14,0,2,2013-2014,19-02-2014,2.5,,,2009,2014,15
Kerala,1,226,Shri N. Peethambara Kurup,KOLLAM,KOLLAM,19.6,19.6,0,1.25,0,2,2013-2014,16-03-2015,2.5,,,2009,2014,15
Kerala,1,227,Shri Ramachandran Mullappally,VADAKARA,KOZHIKODE,22.1,19.6,2.5,0.47,0,2,2013-2014,27-01-2015,2.5,3 / 2013-2014,,2009,2014,15
Kerala,1,228,Shri M. K. Raghavan,KOZHIKODE,KOZHIKODE,22.1,19.6,2.5,0.37,0,2,2013-2014,14-10-2014,2.5,3 / 2013-2014,,2009,2014,15
Kerala,1,229,Shri P. Kuttappan Biju,ALATHUR(SC),PALAKKAD,19.6,19.6,0,0.68,0,2,2013-2014,24-07-2014,2.5,,,2009,2014,15
Kerala,1,230,Shri P. T. Thomas,IDUKKI,IDUKKI,22.1,19.6,2.5,1.15,0,2,2013-2014,15-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Kerala,1,231,Shri Suresh Kodikkunnil,MAVELIKKARA(SC),KOLLAM,22.1,19.6,2.5,2.12,0,2,2013-2014,23-03-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Lakshadweep,1,232,Shri Hamdullah Sayeed,LAKSHADWEEP(ST),LAKSHADWEEP,25,17.5,7.5,-6.01,1.7,1,2012-2013,11/12/13,2.5,"1 / 2013-2014,2 / 2013-2014,2 / 2012-2013",,2009,2014,15
Madhya Pradesh,1,233,Km. Meenakshi Natrajan,MANDSOUR,MANDSAUR,21.53,19.03,2.5,2.37,2.37,2,2013-2014,22-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,234,Shri Ashok Argal,BHIND(SC),BHIND,21.53,19.03,2.5,2.55,2.55,2,2013-2014,13-03-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Madhya Pradesh,1,235,Shri Basori Singh Masram,MANDLA(ST),MANDLA,19.03,19.03,0,0,0,2,2013-2014,12/2/14,2.5,,,2009,2014,15
Madhya Pradesh,1,236,Shri Deoraj Singh Patel,REWA,REWA,21.53,19.03,2.5,0,0,2,2013-2014,29-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,237,Shri Arun Subhashchandra Yadav,KHANDWA,KHANDWA,21.53,19.03,2.5,1.82,0,2,2013-2014,21-10-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Madhya Pradesh,1,238,Shri Bhoopendra Singh,SAGAR,SAGAR,21.53,19.03,2.5,0.45,0,2,2013-2014,30-09-2013,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,239,Shri K. D. Deshmukh,BALAGHAT,BALAGHAT,21.53,19.03,2.5,0.1,0.1,2,2013-2014,15-01-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Madhya Pradesh,1,240,Shri Gajendra Singh Rajukhedi,DHAR(ST),DHAR,19.03,19.03,0,1.15,0,2,2013-2014,5/2/14,2.5,,,2009,2014,15
Madhya Pradesh,1,241,Shri Kantilal Bhuria,RATLAM(ST),JHABUA,21.53,19.03,2.5,1.67,0,2,2013-2014,11/2/16,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,242,Shri Ganesh Singh,SATNA,SATNA,19.03,19.03,0,0.36,0.55,2,2013-2014,5/2/14,2.5,,,2009,2014,15
Madhya Pradesh,1,243,Shri Govind Prasad Mishra,SIDHI,SIDHI,21.53,19.03,2.5,0.6,2.83,2,2013-2014,14-11-2014,2.5,"3 / 2011-2012,3 / 2013-2014",Eligible MPR not Received.,2009,2014,15
Madhya Pradesh,1,244,Shri Jyotiraditya Madhavrao Scindia,GUNA,GUNA,19.03,19.03,0,1.52,4.39,2,2013-2014,24-02-2014,2.5,,,2009,2014,15
Madhya Pradesh,1,245,Shri Kailash Joshi,BHOPAL,BHOPAL,19.03,19.03,0,0.06,4.11,2,2013-2014,20-03-2015,2.5,,,2009,2014,15
Madhya Pradesh,1,246,Shri Kamal Nath,CHHINDWARA,CHHINDWARA,21.53,19.03,2.5,0.66,0.66,2,2013-2014,18-11-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Madhya Pradesh,1,247,Shri Narendra Singh Tomar,MORENA,MORENA,21.53,19.03,2.5,0,2.11,2,2013-2014,25-06-2014,2.5,3 / 2013-2014,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2009,2014,15
Madhya Pradesh,1,248,Shri Jeetendra Singh Bundela,KHAJURAHO,CHHATARPUR,19.03,19.03,0,0.53,2.71,2,2013-2014,5/11/14,2.5,,,2009,2014,15
Madhya Pradesh,1,249,Shri Narayan Singh Amlabe,RAJGARH,RAJGARH,21.53,19.03,2.5,0.38,0.63,2,2013-2014,28-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,250,Shri Makhan Singh Solanki (Babuji),KHARGONE(ST),KHARGAON,21.53,19.03,2.5,1.34,0,2,2013-2014,5/11/14,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,251,Shri Rakesh Singh,JABALPUR,JABALPUR,19.03,19.03,0,2.17,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Madhya Pradesh,1,252,Shri Shivraj Singh Lodhi,DAMOH,DAMOH,21.53,19.03,2.5,1.31,0,2,2013-2014,3/1/14,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Madhya Pradesh,1,253,Shri Premchand Guddu,UJJAIN(SC),UJJAIN,21.53,19.03,2.5,0.14,0,2,2013-2014,30-09-2013,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,254,SHRI. Sajjan Singh Verma,DEWAS(SC),SHAJAPUR,21.53,19.03,2.5,0.33,0.65,2,2013-2014,8/1/14,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,255,Smt. Rajesh Nandini Singh,SHAHDOL (ST),SHAHDOL,19.03,19.03,0,0.85,0.59,2,2013-2014,10/2/14,2.5,,,2009,2014,15
Madhya Pradesh,1,256,Smt. Sumitra Mahajan,INDORE,INDORE,21.53,19.03,2.5,0.56,0,2,2013-2014,20-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,257,Shri Virendra Kumar,TIKAMGARH(SC),TIKAMGARH,21.53,19.03,2.5,3.12,2.92,2,2013-2014,23-06-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Madhya Pradesh,1,258,Smt. Sushma Swaraj,VIDISHA,RAISEN,21.53,19.03,2.5,0.34,0.34,2,2013-2014,13-09-2013,2.5,3 / 2013-2014,,2009,2014,15
Madhya Pradesh,1,259,Smt. Jyoti Dhurve,BETUL(ST),BETUL,19.03,19.03,0,1.48,0,2,2013-2014,28-07-2014,2.5,,,2009,2014,15
