Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Andhra Pradesh,1,27,Shri Rajagopal Lagadapati,VIJAYAWADA,KRISHNA,16.5,16.5,0,-0.98,1.46,1,2013-2014,25-02-2015,2.5,,,2009,2014,15
Andhra Pradesh,1,28,Shri Naramalli Sivaprasad,CHITTOOR,CHITTOOR,19,19,0,0,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Andhra Pradesh,1,29,Shri Magunta Srinivasulu Reddy,ONGOLE,PRAKASAM,21.5,19,2.5,1.01,0,2,2013-2014,15-01-2015,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,30,Shri Sukender Reddy Gutha,NALGONDA,NALGONDA,21.5,19,2.5,1.03,0,2,2013-2014,4/7/14,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,31,Shri Ponnam Prabhakar,KARIMNAGAR,KARIMNAGAR,21.5,19,2.5,0.9,0,2,2013-2014,18-09-2015,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,32,Shri Rathod Ramesh,ADILABAD (ST),ADILABAD,21.5,19,2.5,1.05,0,2,2013-2014,15-04-2015,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,33,Shri Rayapati Sambasiva Rao,GUNTUR,GUNTUR,21.5,19,2.5,-0.19,0,2,2013-2014,24-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Andhra Pradesh,1,34,Shri Rajaiah Siricilla,WARANGAL(SC),WARANGAL,21.5,19,2.5,0.37,0,2,2013-2014,18-08-2015,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,35,Shri V. Kishore Chandra Deo,ARAKU(ST),VIZIANAGARAM,19,19,0,0.26,0,2,2013-2014,3/6/14,2.5,,"Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2009,2014,15
Andhra Pradesh,1,36,SHRI. Nama Nageswara Rao,KHAMMAM,KHAMMAM,19,19,0,2.59,0,2,2013-2014,26-12-2014,2.5,,,2009,2014,15
Andhra Pradesh,1,37,Shri S.P.Y. Reddy,NANDYAL,KURNOOL,21.5,19,2.5,1.94,0,2,2013-2014,28-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Andhra Pradesh,1,38,Shri Y.S. Jagan Mohan Reddy,KADAPA,CUDDAPAH,19,19,0,0.68,0,2,2013-2014,1/12/14,2.5,,,2009,2014,15
Andhra Pradesh,1,39,Shri Sabbam Hari,ANAKAPALLE,VISAKHAPATNAM,21.5,19,2.5,2.99,0,2,2013-2014,28-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Andhra Pradesh,1,40,Shri Suresh Kumar Shetkar,ZAHIRABAD,MEDAK,21.5,19,2.5,1.32,0,2,2013-2014,16-07-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
