Sl No,MP Name,Constituency ,Entitlement,FundReceivedGOI,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UtilizationOverRelease,UnspentBalance
438, Satyadev Pachauri, KANPUR,17,12,13.059,12.7171,12.7171,11.3878,92.898333,1.6712
439, Rajkumar Chahar, FATEHPUR SIKRI,17,12,12.7106,12.4623,12.4623,11.8372,96.643333,0.8734
440, S.P. Singh Baghel,AGRA(SC),17,12,12.5277,12.2138,12.2138,11.4532,93.443333,1.0745
441, Chandra Sen Jadon, FIROZABAD,17,12,12.3677,12.0944,12.0944,11.7006,95.505,0.6671
442, B.P. Saroj Bholanath,MACHHLISHAHR(SC),17,12,12.4208,11.8567,11.8567,10.3589,84.324167,2.0619
443, Satya Pal Singh, BAGHPAT,17,7,7.827,10.6665,9.8211,4.8616,67.451429,2.9654
444, Rajendra Agrawal, MEERUT,17,9.5,10.4067,10.1407,10.1407,9.2288,95.145263,1.1779
445, Dharmendra Kumar Kashyap, AONLA,19.5,12,13.5099,12.9494,12.9494,11.8367,96.639167,1.6732
446, Shafiqur Rahman Barq, SAMBHAL,17,12,12.1198,12.0587,11.1563,9.9315,82.7625,2.1883
447, Mohammad Azam Khan-ex, RAMPUR,7.5,2.5,2.9526,2.3745,2.3745,2.3745,94.98,0.5781
448, Rajveer Raju Bhaiya Singh, ETAH,17,9.5,9.6831,9.5342,9.5342,9.0397,93.154737,0.6434
449, Sanghamitra Maurya, BADAUN,17,9.5,9.7226,9.5,9.1428,7.1911,73.695789,2.5315
450, Harish Dwivedi, BASTI,17,5,5.8761,11.669,11.669,5.7453,112.906,0.1308
451, Santosh Kumar Gangwar, BAREILLY,19.5,12,12.2287,11.8925,11.8925,10.3069,83.890833,1.9218
452, Rajveer Diler, HATHRAS (SC),17,9.5,9.7063,9.3022,9.1937,9.0521,93.285263,0.6542
453, Smriti Irani, AMETHI,17,7,7.3689,7.0937,7.0937,5.4335,77.621429,1.9354
454, Sonia Gandhi, RAE BARELI,17,7,7.283,9.784,6.6242,5.0909,70.727143,2.1921
455, Mulayam Singh Yadav, MAINPURI,17,7,8.0742,7.6814,7.6814,6.8662,97.374286,1.208
456, Danish Ali Kunwar, AMROHA,17,9.5,9.8159,13.084,9.4124,9.152,94.336842,0.6639
457, Dinesh Lal Yadav(Nirahua), AZAMGARH,10,5,5.0302,5.82,4.9512,4.0615,79.23,0.9687
458, Pakauri Lal, ROBERTSGANJ(SC),17,12,12.7153,13.1108,13.1108,11.1253,90.710833,1.59
459, Keshari Devi Patel, PHULPUR,17,7,8.0086,11.7186,7.5259,5.7483,80.118571,2.2603
460, Akhilesh Yadav-Ex, AZAMGARH,7,7,7.1259,5.305,4.6884,4.2536,59.337143,2.8723
461, Kamlesh Paswan, BANSGAON(SC),17,9.5,9.8184,9.2499,9.2499,7.717,81.031579,2.1014
462, Bhola Singh, BULANDSHAHR(SC),17,9.5,10.5414,12.2,10.3321,10.5215,108.752632,0.0199
463, Seyed Tufail Hasan, MORADABAD,17,12,12.1812,13.2769,11.4823,10.5166,85.638333,1.6646
464, Niranjan Jyoti, FATEHPUR,17,9.5,9.9032,9.9554,9.688,8.2224,84.551579,1.6808
465, Upendra Singh Rawat, BARABANKI(SC),19.5,12,15.2909,14.5424,14.5424,12.7299,104.0825,2.561
466, Anurag Sharma, JHANSI,17,7,10.6201,9.9127,9.9054,8.351,118.401429,2.2691
467, Rita Bahuguna Joshi, ALLAHABAD,17,9.5,11.4925,17.1176,10.3673,8.611,88.642105,2.8815
468, Bhanu Pratap Singh Verma, JALAUN(SC),24.5,14.5,15.2568,14.9009,14.9009,13.9693,94.34,1.2875
469, Rajnath Singh, LUCKNOW,17,12,13.2695,12.4543,12.4543,10.8395,88.329167,2.43
470, Ashok Kumar Rawat, MISRIKH(SC),17,9.5,9.7241,11.4589,8.9345,7.6902,78.949474,2.0339
471, Maneka Sanjay Gandhi, SULTANPUR,17,9.5,11.0235,11.0037,11.0037,8.3786,86.195789,2.6449
472, Sanjeev Kumar Balyan, MUZAFFARNAGAR,17,12,12.699,13.6689,12.6228,10.4346,86.955,2.2644
473, Vinod Kumar Sonkar, KAUSHAMBI(SC),17,12,12.1113,12.2698,11.8418,10.654,88.783333,1.4573
474, Pankaj Chowdhary, MAHARAJGANJ,17,9.5,9.6051,9.4259,9.4259,9.2045,95.015789,0.4006
475, Rekha Arun Verma, DHAURAHRA,17,12,12.6037,13.0376,12.2365,12.1052,98.876667,0.4985
