Sl No,MP Name,Constituency ,Entitlement,FundReceivedGOI,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UtilizationOverRelease,UnspentBalance
50, Ajay Nishad, MUZAFFARPUR,17,12,13.1324,15.8,13.1249,12.8674,107.228333,0.265
51, Raj Kumar Singh, ARRAH,17,2.5,2.7988,9.5508,1.9077,0,0,2.7988
52, Giridhari Yadav, BANKA,17,9.5,9.6569,12.5518,9.6218,8.3034,86.351579,1.3535
53, Prince Raj, SAMASTIPUR(SC),17,9.5,9.8534,11.55,10.6558,9.6436,101.511579,0.2098
54, Ajay Kumar Mandal, BHAGALPUR,17,7,9.2844,20.7105,15.4899,7.9956,114.222857,1.2888
55, Baidyanath Prasad Mahto, VALMIKI NAGAR,5,5,5.0609,2.5,2.0787,1.5676,30.352,3.4933
56, Chirag Paswan, JAMUI(SC),17,7,7.1969,13.5914,6.9644,6.222,86.885714,0.9749
57, Santosh Kumar, PURNEA,17,7,10.4924,13.7,12.0742,10.4374,147.105714,0.055
58, Ramprit Mandal, JHANJHARPUR,17,12,12.2359,12.5246,12.0195,11.8725,96.9375,0.3634
59, Giriraj Singh, BEGUSARAI,17,7,7.3094,10.5322,5.8309,5.8809,83.298571,1.4285
60, Sushil Kumar Singh, AURANGABAD,17,5,5.3066,5.3,5.2827,4.3108,86.216,0.9958
61, Rajiv Pratap Rudy, SARAN,34.5,5,5.3092,4.8136,4.8136,2.431,48.12,2.8782
62, Nityanand Rai, UJJARPUR,17,7,9.108,15.0099,9.2585,6.71,95.857143,2.398
63, Sanjay Jaiswal, PASCHIM CHAMPARAN,17,5,5.2241,6.2,5.3021,4.8947,96.894,0.3294
64, Dulal Chandra Goswami, KATIHAR,17,12,12.2851,22.0391,12.8006,10.3942,86.618333,1.8909
65, Chhedi Paswan, SASARAM(SC),17,12,13.6504,14.8776,13.4934,12.8725,106.229167,0.7779
66, Pradeep Kumar Singh, ARARIA,17,7,9.0098,15.7941,15.5171,8.9798,128.282857,0.03
67, Sunil Kumar, VALMIKI NAGAR,12,4.5,7.6708,8.5,8.0176,6.6069,145.931111,1.0639
68, Ram Kripal Yadav, PATALIPUTRA,17,5,5.1963,16.7877,5.1768,2.2122,44.244,2.9841
69, Mehboob Ali Kaiser, KHAGARIA,17,12,12.6907,7.556,11.934,11.934,99.45,0.7567
70, Chandeshwar Prasad, JAHANABAD,17,7,7.3311,6.8701,6.6638,6.4941,90.772857,0.837
71, Dileshwar Kamait, SUPAUL,17,12,15.5585,25.3943,18.8021,15.4177,127.230833,0.1408
72, Rajiv Ranjan (Lalan) Singh, MUNGER,17,7,7.2086,18.2802,6.3206,4.9269,68.384286,2.2817
73, Pashupati Kumar Paras, HAJIPUR(SC),17,9.5,11.0924,14.5,13.2015,9.2884,97.12,1.804
74, Kavita Singh, SIWAN,17,7,7.2904,17.1,12.5898,6.824,95.485714,0.4664
75, Veena Devi, VAISHALI,17,5,5.2009,8.61,5.7884,5.11,100.2,0.0909
76, Mohammad Jawed, KISHANGANJ,19.5,9.5,9.7493,21.0202,11.6635,8.257,84.915789,1.4923
77, vijay kumar, GAYA (SC),17,9.5,9.7882,9.5,9.3915,8.0939,83.198947,1.6943
78, Chandan Singh, NAWADA,17,5,5.1976,4.4848,4.3834,2.9628,57.256,2.2348
79, Sunil Kumar Pintu, SITAMARHI,17,7,7.1757,7.8652,7.5163,6.9107,98.724286,0.265
80, Radha Mohan Singh, PURVI CHAMPARAN,17,7,10.0541,11.0654,9.6699,7.163,102.328571,2.8911
81, Alok Kumar Suman, GOPALGANJ (SC),17,9.5,11.2047,13.9864,10.2506,9.4593,97.571579,1.7454
82, Janardan Singh Sigriwal, MAHARAJGANJ,17,5,5.2069,7.501,4.7771,5.1892,101.784,0.0177
83, Gopal Jee Thakur, DARBHANGA,17,5,5.3635,6.2999,6.2999,3.6446,70.892,1.7189
84, Rama Devi, SHEOHAR,17,9.5,9.692,9.1302,9.121,8.7119,91.704211,0.9801
85, Kirron Kher, CHANDIGARH,17,7,11.7007,25.2589,15.7859,11.5348,163.354286,0.1659
86, Jyotsna Charandas Mahant, KORBA,17,12,12.5897,17.8266,12.9997,11.8159,96.465833,0.7738
87, Mohan Mandavi, KANKER(ST),17,9.5,9.5453,9.2612,9.1551,9.0373,93.129474,0.508
88, Santosh Pandey, RAJNANDGAON,17,9.5,11.2534,11.7832,10.2304,10.4204,107.688421,0.833
89, Sunil Kumar soni, RAIPUR,17,7,8.0214,11.686,6.9775,5.4322,75.602857,2.5892
90, Gomati Sai, RAIGARH(ST),17,12,12.9598,14.79,12.1949,11.6778,95.315,1.282
91, Guharam Ajgalley, JANJGIR CHAMPA(SC),17,12,13.2143,12.8874,12.5668,11.0942,90.451667,2.1201
92, Renuka Singh Saruta, SARGUJA(ST),17,9.5,9.6483,12.6328,9.1616,8.2221,85.074737,1.4262
93, Deepak Baij, BASTAR(ST),17,9.5,12.2928,20.4367,18.2195,11.9081,123.874737,0.3847
94, Chunni lal Sahu, MAHASAMUND,17,12,13.5768,14.5109,12.6549,11.6097,94.7475,1.9671
95, vijay baghel, DURG,17,9.5,10.4402,10.3215,10.1955,9.795,101.105263,0.6452
96, Arun Sao, BILASPUR,17,9.5,11.3906,11.6498,10.6017,8.9331,92.032632,2.4575
97, Kalaben Mohanbhai Delkar &, DADRA NAGAR HAVELI (ST),12,2,2.9472,2.6425,0.1702,0.0216,1.08,2.9256
98, Mohanbhai Sanjibhai Delkar-Ex &, DADRA NAGAR HAVELI (ST),10,2.5,2.6117,3.9074,1.7807,2.6117,104.356,0
99, Lalubhai Babubhai Patel &, DAMAN DIU,17,7,7.2888,24.688,7.1414,5.0343,71.918571,2.2545
100, Parvesh Sahib Singh, WEST DELHI,17,5,5.2898,21.5386,16.8675,4.6039,90.078,0.6859
101, Gautam Gambhir, EAST DELHI,17,7,9.2534,22.1254,17.615,9.0071,126.672857,0.2463
102, Meenakashi Lekhi, NEW DELHI,17,7,7.2775,26.3922,16.9197,7.2733,101.904286,0.0042
103, Harsh Vardhan, CHANDINI CHOWK,22,7.5,7.9412,23.5147,17.9877,6.6306,86.408,1.3106
104, Ramesh Bidhuri, SOUTH DELHI,17,7,7.4394,18.8718,14.2426,5.8902,82.145714,1.5492
105, Raj Hans Hans, NORTH WEST DELHI(SC),17,5,5.3127,20.4013,12.4454,5.1114,100.228,0.2013
106, Manoj Kumar Tiwari, NORTH EAST DELHI,17,7,8.757,22.0511,9.6396,6.0186,83.98,2.7384
107, Francisco Cosme Sardinha, SOUTH GOA,17,7,7.5241,14.8718,10.9479,7.2708,101.868571,0.2533
108, Shripad Yesso Naik, NORTH GOA,17,5,5.332,18.4715,8.0333,4.3873,85.746,0.9447
109, Devusinh Jesingbhai Chauhan, KHEDA,17,7,9.2657,10.3435,6.9275,6.9157,96.795714,2.35
110, Gitaben Vajesingbhai Rathva, CHHOTA UDAIPUR(ST),17,9.5,9.769,17.7199,12.215,9.7321,100.443158,0.0369
111, Shardaben Anilbhai Patel, MAHESANA,17,7,7.372,15.7012,11.6652,8.3619,117.455714,-0.9899
112, Naranbhai Bhikhabhai Kachhadiya, AMRELI,17,9.5,11.1691,33.358,13.4985,10.9232,112.981053,0.2459
113, Parbatbhai Savabhai Patel, BANASKANTHA,17,9.5,9.8136,15.111,10.4983,8.6939,89.514737,1.1197
114, Kirit Premjibhai Solanki, AHMEDABAD WEST(SC),17,9.5,9.5891,12.1863,11.3867,9.5794,98.835789,0.0097
115, Prabhubhai Nagarbhai Vasava, BARDOLI(ST),17,7,9.68,12.3433,8.3439,7.8185,109.692857,1.8615
116, Vinod Chavda, KACHCHH(SC),17,9.5,11.9766,19.4676,15.7509,9.6179,99.241053,2.3587
117, Mitesh Rameshbhai Bakabhai Patel, ANAND,17,9.5,11.1329,17.5274,12.8222,9.2323,95.708421,1.9006
118, Amit Anil Chandra Shah, GANDHINAGAR,17,9.5,9.6889,7.0066,6.9957,6.144,62.673684,3.5449
119, Jaswantsinh Sumanbhai Bhabhor, DAHOD(ST),17,7,7.0662,6.7803,6.7803,6.6926,93.608571,0.3736
120, Rajeshbhai Naranbhai Chudasama, JUNAGADH,17,7,11.5876,14.7227,12.1448,9.9339,139.912857,1.6537
121, C.R. Patil, NAVSARI,17,9.5,14.8678,14.7435,14.7393,14.4224,149.867368,0.4454
122,K.C. Patel, VALSAD(ST),17,7,7.9963,7.6119,7.3878,7.1136,99.622857,0.8827
123, Bharatsinhji Shankarji Dabhi, PATAN,17,9.5,9.7582,13.5332,8.9767,7.7476,79.553684,2.0106
124, Mohanbhai Kalyanji Kundariya, RAJKOT,17,5,9.4141,12.8738,9.4295,8.5213,169.426,0.8928
125, Ranjanben Dhananjay Bhatt, VADODARA,17,9.5,14.618,13.3697,12.9175,12.6238,130.882105,1.9942
126, Mansukhbhai Dhanjibhai Vasava, BHARUCH,17,9.5,10.1999,16.0062,10.8665,9.6265,99.331579,0.5734
127, Darshana Vikram Jardosh, SURAT,17,9.5,9.8057,10.5521,9.4148,9.2454,95.32,0.5603
128, Poonamben Hematbhai Maadam, JAMNAGAR,17,9.5,9.8131,11.2592,9.3252,7.622,78.231579,2.1911
129, Mahendrabhai Kalubhai Munjpara, SURENDRANAGAR,17,7,7.4192,7.4661,6.8812,6.8081,95.258571,0.6111
130, Hasmukh bhai Soma bhai Patel, AHMEDABAD EAST,17,9.5,9.7264,15.3581,10.4944,8.8347,90.996842,0.8917
131, Bharatiben Dhirubhai Shyal, BHAVNAGAR,17,7,9.955,18.2828,11.8159,9.7617,137.452857,0.1933
132, Dipsinh Shankarsinh Rathod, SABARKANTHA,17,9.5,9.6907,12.217,11.2814,9.0034,92.772632,0.6873
133, Rameshbhai Lavjibhai Dhaduk, PORBANDAR,17,9.5,12.9787,14.4591,13.3566,12.8236,132.985263,0.1551
134, Ratansinh Magansinh Rathod, PANCHMAHAL,17,7,7.2249,11.3559,6.781,6.47,90.428571,0.7549
135, Krishan Pal Gurjar, FARIDABAD,17,5,5.862,5.7558,5.7558,2.9295,56.59,2.9325
136, Sunita Duggal, SIRSA(SC),17,9.5,9.7022,14.6865,9.5745,6.8655,71.742105,2.8367
137, Arvind Kumar Sharma, ROHTAK,17,5,5.2056,12.7735,4.9952,2.5234,48.468,2.6822
138, Ramesh Chander Kaushik, SONEPAT,17,9.5,10.106,10.6523,9.0478,7.1414,73.172632,2.9646
139, Dharambir Singh, BHIWANI MAHENDRAGARH,17,12,13.5875,14.6672,13.347,11.9869,97.890833,1.6006
140, Brijendra Singh, HISAR,17,7,7.2327,8.9236,7.7177,4.9733,69.047143,2.2594
141, Nayab Singh, KURUKSHETRA,17,9.5,10.2373,13.8852,9.8983,7.3015,74.857895,2.9358
142, Rao Inderjit Singh, GURGAON,17,7,7.5116,7.5446,6.4711,5.6823,79.175714,1.8293
143, Rattan Lal kataria, AMBALA (SC),17,7,7.2146,12.24,5.1036,2.7097,36.71,4.5049
144, sanjay bhatia, KARNAL,22,10,11.51,23.249,11.1529,9.3529,91.529,2.1571
145, Kishan Kapoor, KANGRA,17,7,9.6263,8.6441,8.6441,6.8808,96.297143,2.7455
146, Pratibha Singh, MANDI,12,4.5,5.6005,5.2075,5.1718,3.1573,68.162222,2.4432
147, Suresh Kumar Kashyap, SHIMLA (SC),17,9.5,12.9989,12.8084,12.8084,11.88,123.052632,1.1189
148, Ram Swaroop Sharma-Ex, MANDI,10,2.5,5.3501,5.878,4.7531,3.0258,119.032,2.3243
149, Anurag Singh Thakur, HAMIRPUR,17,7,10.0947,9.8791,9.8791,7.7685,109.55,2.3262
150, Mohammad Akbar Lone, BARAMULLAH,17,9.5,9.53,12.7299,12.7299,8.0757,83.007368,1.4543
151, Jitendra Singh, UDHAMPUR,17,9.5,9.6823,10.679,10.679,7.1801,73.58,2.5022
152, Hasnain Masoodi, ANANTNAG,17,7,8.4602,8.4011,8.4011,5.7807,81.867143,2.6795
153, Jugal Kishore Sharma, JAMMU,17,9.5,9.6246,13.8975,12.0086,6.8508,70.113684,2.7738
154, Farooq Abdullah, SRINAGAR,17,9.5,10.7805,12.2433,10.4766,7.8246,80.364211,2.9559
155, Nishikant Dubey, GODDA,17,2.5,2.5,0,0,0,0,2.5
156, Chandra Prakash Choudhary, GIRIDIH,17,7,7.1089,10.0382,6.7826,6.2421,88.458571,0.8668
157, Sudarshan Bhagat, LOHARDAGA(ST),17,12,12.1354,12.08,12.08,11.9673,97.7275,0.1681
158, Vishnu Dayal Ram, PALAMU(SC),17,9.5,10.1993,12.3354,10.2119,8.7213,90.68,1.478
159, Pashupati Nath Singh, DHANBAD,17,9.5,12.2489,12.9311,11.9969,9.6448,99.524211,2.6041
160, Arjun Munda, KHUNTI(ST),17,9.5,9.639,9.639,9.639,9.5487,100.512632,0.0903
161, Sanjay Seth, RANCHI,17,12,14.5923,14.7752,14.7752,14.159,115.991667,0.4333
162, Vijay Kumar Hansdak, RAJMAHAL(ST),22,9.5,12.1301,11.9257,11.9257,11.7264,122.383158,0.4037
163, geeta kora, SINGHBHUM(ST),17,7,7.3104,7.2242,7.2242,6.1303,87.575714,1.1801
164, Bidyut Baran Mahato, JAMSHEDPUR,17,9.5,9.6681,8.9352,8.9352,9.1252,94.054737,0.5429
165, Sunil Soren, DUMKA(ST),17,7,8.7375,9.496,9.496,8.1678,114.682857,0.5697
166, Jayant Sinha, HAZARIBAGH,17,9.5,9.735,15.5608,9.3595,8.5933,90.344211,1.1417
167, Annpurna Devi, KODARMA,17,9.5,9.6789,12.619,9.1254,7.7286,79.353684,1.9503
168, Sunil Kumar Singh, CHATRA,19.5,12,15.5407,30.9642,14.962,12.934,107.783333,2.6067
169, V. Srinivas Prasad, CHAMARAJANAGAR(SC),17,9.5,11.8561,11.469,11.469,11.3927,117.923158,0.4634
170, Umesh Jadhav, GULBARGA(SC),17,2.5,7.2032,6.9103,6.9103,4.0967,161.868,3.1065
171, Nalin Kumar Kateel, DAKSHINA KANNADA,17,9.5,10.5054,10.3288,10.0038,9.5153,98.161053,0.9901
172, P.C. Mohan, BANGALORE CENTRAL,17,7,7.7118,7.7981,7.7981,6.8258,95.511429,0.886
173, Mangal Suresh Angadi, BELGAUM,12,2,2.2948,9.2068,2.1018,1.6818,82.09,0.613
174, Shobha Karandlaje, UDUPI CHIKMAGALUR,17,7,7.5448,7.0314,6.8423,6.4346,89.922857,1.1102
175, Prajwal Revanna, HASSAN,24.5,14.5,15.7961,14.7917,14.7917,14.2105,96.003448,1.5856
176, Pralhad Venkatesh Joshi, DHARWAD,17,7,7.5693,6.27,6.04,5.4204,75.805714,2.1489
177, Bhagwanth Khuba, BIDAR,17,9.5,14.9255,20.825,15.9421,14.2714,150.225263,0.6541
178, Doddaalahalli Kempegowda Suresh, BANGALORE RURAL,17,7,8.5614,8.475,8.475,7.6563,109.375714,0.9051
179, Sanganna Amarappa Karadi, KOPPAL,17,7,7.7696,6.86,6.86,6.4629,90.327143,1.3067
180, Parvatagouda Chandanagouda Gaddigoudar, BAGALKOT,17,9.5,11.5566,11.2872,11.2724,10.5495,109.047368,1.0071
181, Ramesh Chandappa Jigajinagi, BIJAPUR(SC),17,5,5.9998,19.9883,19.9585,3.705,74.1,2.2948
182, L.S. Tejasvi Surya, BANGALORE SOUTH,17,5,5.4537,9.9091,9.9091,5.3828,105.656,0.0709
183, Sumalatha Ambareesh, MANDYA,17,9.5,12.3009,11.8832,11.8832,10.7577,111.238947,1.5432
184, Annasaheb Shankar Jolle, CHIKKODI,17,7,7.4945,7.3369,6.6669,5.5644,77.491429,1.9301
185, Gowdar Mallikarjunappa Siddeshwara, DAVANAGERE,17,12,12.8694,16.84,11.835,11.1969,91.3075,1.6725
186, Bache B.N. Gowda, CHIKBALLAPUR,17,9.5,12.8671,12.6341,12.6248,12.5201,129.790526,0.347
187, Y Devendrappa, BELLARY(ST),17,7,8.977,8.45,8.45,8.0898,114.25,0.8872
188, Raja Amareshwara Naik, RAICHUR(ST),17,7,10.7376,10.5859,10.5679,9.5696,134.708571,1.168
189, Anantkumar Hegde, UTTARA KANNADA,17,12,12.4826,16.66,11.38,10.1975,82.979167,2.2851
190, Shivkumar Chanabasappa Udasi, HAVERI,17,7,9.7797,9.651,9.651,9.6031,135.187143,0.1766
191, B.Y. Raghavendra, SHIMOGA,17,7,11.988,14.3471,14.3471,11.6988,165.125714,0.2892
192, S. Muniswamy, KOLAR(SC),17,7,7.0766,6.6767,6.2022,6.0862,84.945714,0.9904
193, Gangasandra Siddappa Basavaraj, TUMKUR,17,7,11.6761,11.2899,11.2899,10.5935,149.335714,1.0826
194, D.V. Sadananda Gowda, BANGALORE NORTH,17,7,7.9949,12.1505,12.1505,7.9802,112.002857,0.0147
195, Prathap Simha, MYSORE,17,12,14.8217,14.4632,14.4632,13.7894,112.911667,1.0323
196, Suresh Chanabasappa Angadi-Ex, BELGAUM,10,5,5.1839,6.765,4.7,4,78,1.1839
197, Narayana Swamy Abbaiah, CHITRADURGA(SC),17,7,8.8009,8.4956,8.4956,7.675,107.642857,1.1259
198, Kumbakudi Sudhakaran, KANNUR,17,7,7.5539,18.1958,9.6082,4.8575,67.392857,2.6964
199, K. Muraleedharan,VADAKARA,17,7,10.1923,38.7526,15.5238,6.6941,94.201429,3.4982
200,Ramya Haridas,ALATHUR(SC),17,7,10.2691,34.238,19.4268,8.0485,112.978571,2.2206
201, N.K. Premachandran, KOLLAM,17,9.5,12.4382,39.1381,19.0727,10.2175,105.552632,2.2207
202, Abdul Majeed Ariff, ALAPPUZHA,17,7,7.2992,22.6104,10.9627,6.5627,91.752857,0.7365
203, Adoor Prakash, ATTINGAL,17,7,7.8276,23.4401,17.735,7.7608,108.868571,0.0668
204, Behanan Benny, CHALAKUDY,17,7,10.2565,28.821,17.8863,6.9429,97.184286,3.3136
205, Dean Kuria kose, IDUKKI,17,7,9.3727,22.805,15.4669,5.6851,79.215714,3.6876
206, E.T Mohammed Basheer, PONNANI,17,7,7.4178,26.883,14.9991,4.8596,67.422857,2.5582
207, Shashi Tharoor, THIRUVANANTHAPURAM,17,7,8.919,23.2066,16.3051,8.8809,124.87,0.0381
208, Vellalath Kochukrishnan Nair Sreekandan, PALAKKAD,17,7,9.8614,24.3907,15.8017,6.8813,96.304286,2.9801
209, Rajmohan Unnithan, KASARAGOD,19.5,7,7.7412,19.9966,11.6552,7.4655,104.65,0.2757
210, Thomas Chazhikadan, KOTTAYAM,17,7,7.3601,20.5465,12.9317,7.3427,102.895714,0.0174
211, Rahul Gandhi, WAYANAD,17,7,10.0658,20.8514,17.2175,8.782,123.457143,1.2838
212, Hibi Eden, ERNAKULAM,17,7,7.3988,26.6764,16.8924,5.7663,80.375714,1.6325
213, M.K. Raghavan, KOZHIKODE,17,7,8.3717,19.3091,15.4137,6.3829,89.184286,1.9888
214, T N Prathapan,THRISSUR,17,7,10.0871,29.6715,18.6211,8.0511,113.015714,2.036
215, Anto Antony, PATHANAMTHITTA,17,7,9.2736,34.7035,17.2925,9.2034,129.477143,0.0702
216, Kunhalikutty P.K,MALAPPURAM,5,5,5.9728,8.6749,5.177,5.118,100.36,0.8548
217, Suresh Kodikunnil, MAVELIKKARA(SC),17,7,12.1123,29.4574,19.843,7.3087,102.41,4.8036
218, Dr. M.P. Abdussamad Samadani, MALAPPURAM,12,2,2.0888,13.423,6.6031,0.6353,29.765,1.4535
219, Jamyang Tsering Namgyal, LADAKH,17,7,7.136,5.2815,6.1308,6.2708,87.582857,0.8652
220, Faizal P.P Mohammed, LAKSHADWEEP(ST),22,2.5,2.7114,4.0659,4.0659,2.0526,82.104,0.6588
221, Gyaneshwar Patil, KHANDWA,12,4.5,4.5208,5.5748,4.4806,3.8691,83.98,0.6517
222, Nakul K. Nath, CHHINDWARA,17,9.5,13.9317,16.0456,14.8343,12.6483,131.14,1.2834
223, Uday Pratap Singh, HOSHANGABAD,17,9.5,11.5893,14.4328,11.2894,10.5584,109.141053,1.0309
224, Ramakant Bhargava, VIDISHA,17,7,7.2232,7.0547,6.779,6.6058,92.368571,0.6174
225, Ganesh Singh, SATNA,17,9.5,9.7362,12.215,9.6556,9.7324,100.446316,0.0038
226, Rakesh Singh, JABALPUR,17,2.5,4.9357,9.1066,5.663,4.0521,160.084,0.8836
227, Mahendra Singh Solanky, DEWAS(SC),17,9.5,10.6025,11.887,10.587,10.4187,107.670526,0.1838
228, Rodmal Nagar, RAJGARH,17,9.5,11.8655,13.6147,11.2195,10.8042,113.728421,1.0613
229, Nand Kumar Singh Chauhan-Ex, KHANDWA,10,5,5.1117,7.1184,4.3623,4.4623,87.246,0.6494
230, Janardan Mishra, REWA,17,9.5,10.3834,10.2861,10.1356,8.6052,88.581053,1.7782
231, Sandhya Ray, BHIND(SC),17,9.5,12.4944,14.4852,11.6838,9.8414,101.593684,2.653
232, Shankar Lalwani, INDORE,17,9.5,9.6797,11.3527,10.0305,8.732,89.915789,0.9477
233, Himadri Singh, SHAHDOL (ST),17,9.5,9.6052,10.4577,9.2959,9.0236,92.985263,0.5816
234, Chhatar Singh Darbar, DHAR(ST),17,9.5,9.6283,10.603,9.7754,8.8303,90.950526,0.798
235, Vishnu Dutt Sharma, KHAJURAHO,17,7,7.2604,7,6.5689,5.7524,80.177143,1.508
236, Krishna Pal Singh Yadav, GUNA,17,7,7.3,7.3,7.3,7.3,104.285714,0
237, Gajendra Singh Patel, KHARGONE(ST),17,7,7.0618,7.0125,6.6772,6.2732,87.617143,0.7886
238, Pragya Singh Thakur, BHOPAL,17,9.5,9.6465,9.485,9.485,9.4566,97.543158,0.1899
239, Riti Pathak, SIDHI,17,5,5.1569,5.4376,5.2741,5.0293,100.586,0.1276
240, Dhal Singh Bisen, BALAGHAT,17,12,15.5257,17.1738,15.0876,15.125,124.608333,0.4007
241, Faggan Singh Kulaste, MANDLA(ST),17,9.5,9.7165,12.6339,9.4937,8.8177,90.871579,0.8988
242, Anil Firojiya, UJJAIN(SC),17,9.5,11.1394,17.3151,13.2104,10.9472,113.233684,0.1922
243, Prahlad Singh Patel, DAMOH,17,9.5,11.5346,12.6717,12.1985,9.7322,100.444211,1.8024
244, Rajbahadur Singh, SAGAR,17,7,8.0556,7.2814,7.2756,6.5152,92.574286,1.5404
245, Vivek Narayan Shejwalkar, GWALIOR,17,9.5,9.7967,14.9064,12.8741,9.3825,96.763158,0.4142
246, Narendra Singh Tomar, MORENA,17,7,7.3268,10.782,7.5069,5.6265,78.387143,1.7003
247, Durga Das Uikey, BETUL(ST),17,12,15.6572,16.1284,15.1126,13.4244,109.87,2.2328
248, Guman Singh Damor, RATLAM(ST),17,9.5,9.5626,16.8686,13.4428,9.3381,96.295789,0.2245
249, Virendra Kumar, TIKAMGARH(SC),17,9.5,9.7742,17.8308,9.5511,7.5498,77.471579,2.2244
250, Sudheer Gupta, MANDSOUR,17,7,7.2328,9.02,6.6465,6.6333,92.761429,0.5995
251, Manoj Kishorbhai Kotak, MUMBAI NORTH EAST,17,7,7.8985,13.1551,12.85,7.73,108.428571,0.1685
252, Udayanraje Pratapsingh Bhonsle, SATARA,10,0,0,0,0,0,0,0
253, Sudhakar Tukaram Shrangre, LATUR(SC),17,9.5,10.4435,26.6871,16.8329,10.4264,109.751579,0.0171
254, Sunil Baburao Mendhe, BHANDARA-GONDIYA,17,5,9.1086,17.8787,16.0148,6.5659,129.318,2.5427
255, Shrirang Appa Barne, MAVAL,17,7,7.3793,17.2912,14.4974,6.5368,91.382857,0.8425
256, Bhavana Gawali (Patil), YAVATMAL-WASHIM,17,5,5.0587,5.1665,5.1665,4.6151,90.302,0.4436
257, Rajendra Dhedya Gavit, PALGHAR(ST),19.5,9.5,10.7534,30.0756,17.8211,9.9401,102.632632,0.8133
258, Syed Shri Imtiaz Jaleel, AURANGABAD,17,9.5,9.7057,18.1672,14.8332,8.7434,90.035789,0.9623
259, Balubhau (Alias Suresh Narayan) Dhanorkar, CHANDRAPUR,17,9.5,9.647,14.532,9.2621,8.5606,88.111579,1.0864
260, Hemant Patil, HINGOLI,17,7,7.3023,27.17,8.8362,4.8631,67.472857,2.4392
261, Poonam (Mahajan) Vajendla Rao, MUMBAI NORTH-CENTRAL,17,9.5,9.8539,12.997,12.3,8.38,86.210526,1.4739
262, Shriniwas Dadasaheb Patil, SATARA,17,5,10.6456,24.3,22.2294,7.4782,147.564,3.1674
263, Prataprao Govindrao Patil Chikhalikar, NANDED,17,7,7.3203,15.7871,9.0673,5.1738,71.911429,2.1465
264, Krupal Balaji Tumane, RAMTEK(SC),17,7,7.3989,19.3687,11.0482,7.2545,102.207143,0.1444
265, Shrikant Eknath Shinde, KALYAN,17,9.5,9.8746,11.8292,9.9622,7.1846,74.574737,2.69
266, Ramdas Chandrabhanji Tadas, WARDHA,17,9.5,10.6584,27.031,12.7545,9.0448,93.734737,1.6136
267, Arvind Ganpat Sawant, MUMBAI SOUTH,17,7,7.3137,14.625,14.165,6.2211,86.872857,1.0926
268, Supriya Sadanand Sule, BARAMATI,17,9.5,9.6959,14.1056,13.7813,7.7748,79.84,1.9211
269, Amol Ramsing Kolhe, SHIRUR,17,7,7.5328,18.4632,13.2188,6.2298,86.997143,1.303
270, Rajan Baburao Vichare, THANE,17,7,7.3978,10.9879,10.0117,5.5703,78.147143,1.8275
271, Sunil Dattatray Tatkare, RAIGAD,17,7,10.5174,26.394,18.2447,6.8825,96.892857,3.6349
272, Sujay Radhakrishna Vikhepatil, AHMEDNAGAR,17,9.5,9.6925,12.96,11.1589,7.6514,78.541053,2.0411
273, Rahul Ramesh Shewale, MUMBAI SOUTH CENTRAL,17,7,7.3595,13.03,12.19,4.53,62.714286,2.8295
274, Prataprao Jadhav, BULDHANA,17,5,5.3501,16.7267,12.3062,4.9982,99.964,0.3519
275, Heena Vijaykumar Gavit, NANDURBAR(ST),17,7,7.1529,14.6292,7.1592,6.0773,86.818571,1.0756
276, Sanjay Shamrao Dhotre, AKOLA,17,9.5,9.7496,14.2836,11.7882,9.1883,94.718947,0.5613
277, Subhash Ramrao Bhamre, DHULE,17,9.5,9.8467,14.8679,11.8788,7.3167,75.017895,2.53
278, Sanjay Sadashivrao Mandlik, KOLHAPUR,17,7,7.3193,15.06,16.8775,7.2846,102.065714,0.0347
279, Raosaheb Patil Danve, JALNA,17,5,5.3003,19.665,12.9518,3.8074,75.904,1.4929
280, Sanjay Haribhau Jadhav, PARBHANI,17,7,7.2297,13.2715,8.1888,5.1672,72.388571,2.0625
281, Hemant Tukaram Godse, NASHIK,17,7,7.5834,13,12.2028,7.3748,103.354286,0.2086
282, Pritam Gopinath Munde, BEED,17,5,5.2898,8.4273,5.0786,2.5797,50.594,2.7101
283, Omprakash Bhupalsinh alias Pawan Rajenimbalkar, OSMANABAD,17,2.5,2.7151,12.5468,3.5009,1.8199,72.796,0.8952
284, Girish Bhalchandra Bapat, PUNE,12,7,7.9814,13.1752,11.2248,7.849,110.128571,0.1324
285, Gopal Chinayya Shetty, MUMBAI NORTH,17,9.5,9.95,15.27,12.041,8.5208,87.692632,1.4292
286, Dhairyasheel Sambhajirao Mane, HATKANANGLE,17,7,7.4774,14.35,16.8854,7.4172,103.96,0.0602
287, Ashok Mahadeorao Nete, GADCHIROLI-CHIMUR(ST),17,9.5,9.86,19.6385,8.9337,7.8143,80.782105,2.0457
288, Nitin Jairam Gadkari, NAGPUR,17,7,7.3424,16.3802,12.4485,6.9944,98.491429,0.348
289, Gajanan Chandrakant Kirtikar, MUMBAI NORTH WEST,17,9.5,9.81,19.341,12.28,6.99,71.578947,2.82
290, Jaisidheshwar Shivachary Mahaswamiji, SOLAPUR(SC),17,5,5.3402,14.7568,5.5703,4.0156,78.312,1.3246
291, Sanjay(Kaka) Ramchandra Patil, SANGLI,17,5,5.2437,16.2428,7.3344,4.9832,97.664,0.2605
