Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Andhra Pradesh,7,24,Smt. Geetha Kothapalli,ARAKU(ST),VISAKHAPATNAM,25,25,0,1.42,2.31,2,2018-2019,6/3/20,2.5,,,2014,2019,16
Andhra Pradesh,7,25,Shri Sriram Malyadri,BAPATLA,PRAKASAM,25,22.5,2.5,-3.19,1.94,2,2017-2018,4/9/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Andhra Pradesh,7,26,Smt. Renuka Butta,KURNOOL,KURNOOL,25,22.5,2.5,-2.37,0.77,1,2018-2019,7/8/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Arunachal Pradesh,7,27,Shri Kiren Rijiju,ARUNACHAL WEST,WEST SIANG,25,25,0,3.44,3.44,2,2018-2019,7/8/19,2.5,,,2014,2019,16
Arunachal Pradesh,7,28,Shri Ninong Ering,ARUNACHAL EAST,LOHIT,25,25,0,2.8,2.8,2,2018-2019,27-11-2018,2.5,,,2014,2019,16
Assam,7,29,Km. Sushmita Dev,SILCHAR,CACHAR,25,25,0,0.14,2.85,2,2018-2019,15-02-2022,2.5,,,2014,2019,16
Assam,7,30,Maulana Badruddin Ajmal,DHUBRI,DHUBRI,25,25,0,0.56,2.57,2,2018-2019,15-02-2022,2.5,,,2014,2019,16
Assam,7,31,Shri Biren Singh Engti,AUTONOMOUS DISTRICT(ST),KARBI ANGLONG,15,15,0,0.09,1.04,1,2016-2017,26-09-2018,2.5,,,2014,2019,16
Assam,7,32,Shri Gaurav Gogoi,KALIABOR,NOWGONG,27.5,20,7.5,0.14,1.37,1,2017-2018,31-05-2019,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
Assam,7,33,Shri Kamakhya Prasad Tasa,JORHAT,JORHAT,25,17.5,7.5,2.96,5.11,1,2017-2018,28-11-2018,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Audit Certificate Pending, Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Assam,7,34,Shri Rajen Gohain,NOWGONG,NOWGONG,25,25,0,0.16,0.92,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Assam,7,35,Shri Pradan Baruah,LAKHIMPUR,DHEMAJI,17.5,17.5,0,3.2,3.2,2,2018-2019,8/2/19,2.5,,,2014,2019,16
Assam,7,36,Shri Ramen Deka,MANGALDOI,DARRANG,25,25,0,1.32,4.3,2,2018-2019,24-02-2022,2.5,,"Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Assam,7,37,Shri Rameswar Teli,DIBRUGARH,DIBRUGARH,25,20,5,2.74,4.52,2,2017-2018,29-10-2019,2.5,"1 / 2018-2019,2 / 2018-2019","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Assam,7,38,Shri Ram Prasad Sarmah,TEZPUR,SONITPUR,25,22.5,2.5,-0.39,3.63,1,2018-2019,29-10-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Assam,7,39,Shri Naba Kumar Sarania EX,KOKRAJHAR (ST),NALBARI,25,25,0,3.2,3.2,2,2018-2019,10/9/18,2.5,,,2014,2019,16
Assam,7,40,Shri Radheshyam Biswas,KARIMGANJ (SC),KARIM GANJ,25,25,0,0.61,2.54,2,2018-2019,15-02-2022,2.5,,,2014,2019,16
Assam,7,41,Shri Sarbananda Sonowal,LAKHIMPUR,LAKHIMPUR,7.5,7.5,0,0.06,0.27,1,2015-2016,22-02-2016,2.5,,,2014,2019,16
Assam,7,42,Shri Sirajuddin Ajmal,BARPETA,BARPETA,25,25,0,-0.7,0.09,2,2018-2019,28-11-2018,2.5,,,2014,2019,16
