Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Gujarat,7,112,Shri Chandrakant Raghunath Patil,NAVSARI,NAVSARI,25,25,0,4.3,5.05,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
Gujarat,7,113,Shri Jasvantsinh Sumanbhai Bhabhor,DAHOD(ST),DAHOD,25,25,0,-0.12,0.48,2,2018-2019,27-12-2018,2.5,,,2014,2019,16
Gujarat,7,114,Shri Dilip Patel,ANAND,ANAND,25,25,0,0.07,1.41,2,2018-2019,10/6/19,2.5,,,2014,2019,16
Gujarat,7,115,Shri Devusinh Jesingbhai Chauhan,KHEDA,KHEDA,25,25,0,0.51,1.28,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Gujarat,7,116,Shri Devajibhai Govindbhai Fatepara,SURENDRANAGAR,SURENDRANAGAR,25,25,0,0.36,0.66,2,2018-2019,30-10-2018,2.5,,,2014,2019,16
Gujarat,7,117,Shri Dipsinh Shankarsinh Rathod,SABARKANTHA,SABARKANTHA,25,25,0,-0.18,0.09,2,2018-2019,21-08-2019,2.5,,,2014,2019,16
Gujarat,7,118,Shri Lal Krishna Advani,GANDHINAGAR,GANDHINAGAR,25,22.5,2.5,0.62,3.15,1,2018-2019,7/8/19,2.5,2 / 2018-2019,,2014,2019,16
Gujarat,7,119,Shri Mansukhbhai Dhanjibhai Vasava,BHARUCH,Bharuch,25,25,0,-0.12,1.32,2,2018-2019,30-05-2019,2.5,,,2014,2019,16
Gujarat,7,120,Shri Mohanbhai Kalyanjibhai Kundariya,RAJKOT,RAJKOT,25,25,0,0.9,4.85,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
Gujarat,7,121,Shri Liladharbhai Khodaji Vaghela,PATAN,PATAN,25,22.5,2.5,-2.04,0.07,2,2018-2019,2/8/22,2.5,,,2014,2019,16
Gujarat,7,122,Shri Naranbhai Kachhadiya,AMRELI,AMRELI,25,25,0,0.7,1.08,2,2018-2019,17-12-2018,2.5,,,2014,2019,16
Gujarat,7,123,Shri Parbhubhai Nagarbhai Vasava,BARDOLI(ST),SURAT,25,25,0,-0.11,1.16,2,2018-2019,1/11/19,2.5,,,2014,2019,16
Gujarat,7,124,Shri Paresh Rawal,AHMEDABAD EAST,AHMEDABAD,25,25,0,-0.93,2.54,2,2018-2019,7/3/22,2.5,,,2014,2019,16
Gujarat,7,125,Shri Ramsinh Patalyabhai Rathwa,CHHOTA UDAIPUR(ST),CHHOTA UDAIPUR,25,25,0,0.5,2.85,2,2018-2019,6/6/22,2.5,,,2014,2019,16
Gujarat,7,126,Shri Prabhatsinh Pratapsinh Chauhan,PANCHMAHAL,PANCHMAHALS,25,25,0,0.41,1.08,2,2018-2019,16-07-2019,2.5,,,2014,2019,16
Gujarat,7,127,Shri Rajeshbhai Naranbhai Chudasama,JUNAGADH,JUNAGADH,25,25,0,0.97,1.55,2,2018-2019,10/10/19,2.5,,,2014,2019,16
Gujarat,7,128,Smt Ranjanben Bhatt,VADODARA,VADODARA,25,25,0,1.81,3.51,2,2018-2019,31-07-2019,2.5,,,2014,2019,16
Gujarat,7,129,Smt. Poonamben Hematbhai Maadam,JAMNAGAR,JAMNAGAR,25,25,0,0.19,2.35,2,2018-2019,23-03-2022,2.5,,,2014,2019,16
Gujarat,7,130,Shri Vitthalbhai Hansrajbhai Radadiyahai,PORBANDAR,RAJKOT,25,25,0,1.48,3.35,2,2018-2019,20-12-2019,2.5,,,2014,2019,16
Gujarat,7,131,Smt. Darshana Vikram Jardosh,SURAT,SURAT,25,25,0,-0.21,0.08,2,2018-2019,19-09-2019,2.5,,,2014,2019,16
Gujarat,7,132,Smt. Jayshreeben Patel,MAHESANA,MAHESANA,25,25,0,0.15,1.64,2,2018-2019,24-03-2022,2.5,,,2014,2019,16
Haryana,7,133,Shri Ashwini Kumar,KARNAL,KARNAL,25,20,5,0.74,0.74,2,2017-2018,7/1/19,2.5,"1 / 2018-2019,2 / 2018-2019",,2014,2019,16
Haryana,7,134, Rao Inderjit Singh,GURGAON,REWARI,25,25,0,0.58,1.82,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Haryana,7,135,Shri Charanjeet Singh Rori,SIRSA(SC),SIRSA,25,25,0,-0.59,0.88,2,2018-2019,4/2/19,2.5,,,2014,2019,16
Haryana,7,136,Shri Dharambir Bhaleram,BHIWANI MAHENDRAGARH,MAHENDRAGARH,25,25,0,0.16,0.16,2,2018-2019,17-08-2018,2.5,,,2014,2019,16
Haryana,7,137,Shri Deepender Singh Hooda,ROHTAK,ROHTAK,25,25,0,-0.24,0.86,2,2018-2019,17-10-2019,2.5,,,2014,2019,16
Haryana,7,138,Shri Dushyant Chautala,HISAR,HISSAR,25,25,0,1.04,4.43,2,2018-2019,31-12-2019,2.5,,,2014,2019,16
Haryana,7,139,Shri Krishan Pal,FARIDABAD,FARIDABAD,25,25,0,0.55,3.93,2,2018-2019,30-05-2019,2.5,,,2014,2019,16
Haryana,7,140,Shri Rattan Lal Kataria,AMBALA (SC),AMBALA,25,25,0,2.28,3.69,2,2018-2019,14-02-2020,2.5,,,2014,2019,16
Haryana,7,141,Shri Raj Kumar Saini,KURUKSHETRA,KURUKSHETRA,25,25,0,0.48,0.68,2,2018-2019,27-02-2020,2.5,,,2014,2019,16
Haryana,7,142,Shri Ramesh Chander Kaushik,SONEPAT,SONEPAT,25,25,0,0.41,0.41,2,2018-2019,10/8/18,2.5,,,2014,2019,16
Himachal Pradesh,7,143,Shri Anurag Singh Thakur,HAMIRPUR,HAMIRPUR,25,25,0,3.49,4.96,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Himachal Pradesh,7,144,Shri Ram Swaroop Sharma,MANDI,MANDI,25,25,0,0.57,0.57,2,2018-2019,17-12-2018,2.5,,,2014,2019,16
Himachal Pradesh,7,145,Shri Shanta Kumar,KANGRA,KANGRA,25,25,0,2.5,5,2,2018-2019,6/2/19,2.5,,,2014,2019,16
Himachal Pradesh,7,146,Shri Virender Kashyap,SHIMLA (SC),SOLAN,25,25,0,2.81,4.98,2,2018-2019,24-12-2018,2.5,,,2014,2019,16
Jammu & Kashmir,7,147,Dr. Jitendra Singh,UDHAMPUR,KATHUA,25,25,0,0.18,4.36,2,2018-2019,21-03-2022,2.5,,,2014,2019,16
Jammu & Kashmir,7,148,Dr Farooq Abdullah,SRINAGAR,SRINAGAR,12.5,7.5,5,-1.12,0,1,2018-2019,6/9/18,2.5,"2 / 2018-2019,2 / 2016-2017","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Jammu & Kashmir,7,149,Shri Jugal Kishore Sharma,JAMMU,JAMMU,25,25,0,0.43,4.84,2,2018-2019,1/11/19,2.5,,,2014,2019,16
Jammu & Kashmir,7,150,Shri Muzaffar Hussain Baig,BARAMULLAH,BARAMULLAH,25,22.5,2.5,-2.59,2.06,2,2017-2018,23-03-2020,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Jammu & Kashmir,7,151,Shri Thupstan Chhewang,LADAKH,LEH,25,22.5,2.5,1.3,2.67,1,2018-2019,18-12-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Jammu & Kashmir,7,152,Smt. Mehbooba Mufti,ANANTNAG,ANANTNAG,12.5,10,2.5,0.76,1.84,2,2015-2016,21-11-2016,2.5,1 / 2016-2017,,2014,2019,16
Jammu & Kashmir,7,153,Shri Tariq Hameed Karra,SRINAGAR,SRINAGAR,12.5,12.5,0,2.11,3.42,1,2016-2017,5/11/18,2.5,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Jharkhand,7,154,Dr. Ravindra Kumar Ray,KODARMA,GIRIDIH,25,22.5,2.5,-2.45,0,1,2018-2019,3/1/19,2.5,2 / 2018-2019,,2014,2019,16
Jharkhand,7,155,Shri Bidyut Baran Mahato,JAMSHEDPUR,EAST SINGHBUM,25,20,5,0.1,2.78,2,2017-2018,14-02-2020,2.5,"1 / 2018-2019,2 / 2018-2019","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Jharkhand,7,156,Shri Kariya Munda,KHUNTI(ST),KHUNTI,25,20,5,0.51,0.47,2,2017-2018,4/2/19,2.5,"1 / 2018-2019,2 / 2018-2019",,2014,2019,16
Jharkhand,7,157,Shri Jayant Sinha,HAZARIBAGH,HAZARIBAGH,25,22.5,2.5,0.9,2.53,1,2018-2019,5/8/19,2.5,2 / 2018-2019,,2014,2019,16
Jharkhand,7,158,Shri Nishikant Dubey,GODDA,GODDA,25,7.5,17.5,3.16,3.39,1,2015-2016,19-04-2018,2.5,"1 / 2016-2017,1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2015-2016,2 / 2017-2018,2 / 2016-2017",,2014,2019,16
Jharkhand,7,159,Shri Laxman Giluwa,SINGHBHUM(ST),CHAIBAS (W.SINGHBHUM),32.5,30,2.5,-2.33,0.39,2,2017-2018,3/1/19,2.5,2 / 2018-2019,,2014,2019,16
Jharkhand,7,160,Shri Pashupati Nath Singh,DHANBAD,DHANBAD,25,25,0,2.65,4.95,2,2018-2019,12/9/19,2.5,,,2014,2019,16
Jharkhand,7,161,Shri Ravindra Kumar Pandey,GIRIDIH,BOKARO,25,22.5,2.5,2.62,4.61,1,2018-2019,19-12-2018,2.5,2 / 2018-2019,,2014,2019,16
Jharkhand,7,162,Shri Sunil Kumar Singh,CHATRA,CHATRA,25,22.5,2.5,-0.43,0.14,1,2018-2019,13-09-2019,2.5,2 / 2018-2019,Eligible MPR not Received.,2014,2019,16
Jharkhand,7,163,Shri Shibu Soren,DUMKA(ST),DUMKA,25,20,5,1.57,2.68,2,2017-2018,21-08-2019,2.5,"1 / 2018-2019,2 / 2018-2019",,2014,2019,16
Jharkhand,7,164,Shri Ram Tahal Choudhary,RANCHI,RANCHI,25,17.5,7.5,2.7,2.48,1,2017-2018,9/7/19,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
Jharkhand,7,165,Shri Vishnu Dayal Ram,PALAMU(SC),PALAMAU,25,25,0,0.03,0,2,2018-2019,12/2/19,2.5,,,2014,2019,16
Jharkhand,7,166,Shri Sudarshan Bhagat,LOHARDAGA(ST),RANCHI,25,22.5,2.5,0.6,0.26,1,2018-2019,9/7/19,2.5,2 / 2018-2019,Eligible MPR not Received.,2014,2019,16
Jharkhand,7,167,Shri Vijay Kumar Hansdak,RAJMAHAL(ST),SAHEBGANJ,25,20,5,2.46,2.46,2,2017-2018,17-09-2019,2.5,"1 / 2018-2019,2 / 2018-2019",Incorrect MPR.,2014,2019,16
Karnataka,7,168,Dr. M. Veerappa Moily,CHIKBALLAPUR,CHIKBALLAPUR,25,17.5,7.5,-2.65,0.46,1,2017-2018,2/2/18,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,169,Km. Shobha Karandlaje,UDUPI CHIKMAGALUR,UDUPI,25,22.5,2.5,-0.44,0.85,1,2018-2019,21-01-2020,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,170,Shri B.V. Nayak,RAICHUR(ST),RAICHUR,25,22.5,2.5,-2.21,0.54,1,2018-2019,21-01-2020,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,171,Shri B. S. Yeddyurappa,SHIMOGA,SHIVAMOGGA,20,20,0,0.28,2.49,2,2017-2018,25-01-2019,2.5,,,2014,2019,16
Karnataka,7,172,Shri B. Sreeramulu,BELLARY(ST),BALLARI,20,20,0,0.23,0.77,2,2017-2018,11/9/18,2.5,,,2014,2019,16
Karnataka,7,173,Shri B.N. Chandrappa,CHITRADURGA(SC),CHITRADURGA,25,22.5,2.5,0.46,2.79,1,2018-2019,21-01-2020,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,174,Shri ananth Ananth Kumar,BANGALORE SOUTH,BENGALURU URBAN,25,12.5,12.5,0.53,5.13,2,2015-2016,5/7/18,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,175,Shri Anant Kumar Dattatreya Hegde,UTTARA KANNADA,UTTAR KANNAD,25,25,0,0.17,4.63,2,2018-2019,24-06-2022,2.5,,,2014,2019,16
Karnataka,7,176,Shri C.S. Puttaraju,MANDYA,MANDYA,20,15,5,0.53,1.48,2,2016-2017,10/1/19,2.5,"1 / 2017-2018,2 / 2017-2018","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,177,Shri B.Y. Raghavendra,SHIMOGA,SHIVAMOGGA,2.5,2.5,0,0.08,1.04,2,2018-2019,3/1/19,2.5,,,2014,2019,16
Karnataka,7,178,Shri Bhagwanth Khuba,BIDAR,BIDAR,25,25,0,-0.02,2.73,2,2018-2019,28-03-2022,2.5,,,2014,2019,16
Karnataka,7,179,Shri Doddaalahalli Kempegowda Suresh,BANGALORE RURAL,RAMANAGARA,25,25,0,0.13,0.84,2,2018-2019,9/1/19,2.5,,,2014,2019,16
Karnataka,7,180,Shri D.V. Sadananda Gowda,BANGALORE NORTH,BENGALURU URBAN,25,25,0,0.43,2.54,2,2018-2019,17-06-2022,2.5,,,2014,2019,16
Karnataka,7,181,Shri Gowdar Mallikarjunappa Siddeshwara,DAVANAGERE,DAVANGERE,25,25,0,0.38,0.39,2,2018-2019,27-12-2018,2.5,,,2014,2019,16
Karnataka,7,182,Shri K.H. Muniyappa,KOLAR(SC),KOLAR,25,17.5,7.5,0.09,0.13,1,2017-2018,4/10/18,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,183,Shri H.D. Devegowda,HASSAN,HASSAN,25,17.5,7.5,0.23,0.6,1,2017-2018,31-07-2019,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
Karnataka,7,184,Shri Prakash Babanna Hukkeri,CHIKKODI,BELAGAVI,25,25,0,0.08,1.14,2,2018-2019,27-02-2020,2.5,,,2014,2019,16
Karnataka,7,185,Shri Mallikarjun Kharge,GULBARGA(SC),GULBARGA,25,25,0,0.27,4.87,2,2018-2019,4/9/19,2.5,,,2014,2019,16
Karnataka,7,186,Shri Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,BAGALKOT,25,22.5,2.5,0,0.03,1,2018-2019,4/2/20,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,187,Shri Pralhad Venkatesh Joshi,DHARWAD,DHARWAR,27.5,27.5,0,2.82,4.08,2,2018-2019,7/6/22,2.5,,,2014,2019,16
Karnataka,7,188,Shri P. C. Mohan,BANGALORE CENTRAL,BENGALURU URBAN,25,25,0,0.34,2.51,2,2018-2019,1/6/22,2.5,,,2014,2019,16
Karnataka,7,189,Shri Prathap Simha,MYSORE,MYSORE,25,25,0,2.64,2.55,2,2018-2019,10/6/19,2.5,,,2014,2019,16
Karnataka,7,190,Shri Ramesh Chandappa Jigajinagi,BIJAPUR(SC),BIJAPUR,27.5,15,12.5,2.76,2.43,1,2016-2017,6/2/19,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,191,Shri Nalin Kumar Kateel,DAKSHINA KANNADA,DAKSHIN KANNAD,25,25,0,0.06,0.06,2,2018-2019,17-10-2019,2.5,,,2014,2019,16
Karnataka,7,192,Shri Rangaswamy Dhruvanarayana,CHAMARAJANAGAR(SC),CHAMARAJNAGAR,25,25,0,0.13,0.9,2,2018-2019,8/2/19,2.5,,,2014,2019,16
Karnataka,7,193,Shri Sanganna Amarappa Karadi,KOPPAL,KOPPAL,25,25,0,0.38,1.37,2,2018-2019,17-03-2020,2.5,,,2014,2019,16
Karnataka,7,194,Shri S.P. Muddahanumegowda,TUMKUR,TUMAKURU,25,22.5,2.5,-2.48,0.61,1,2018-2019,29-01-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,195,Shri Shivkumar Chanabasappa Udasi,HAVERI,HAVERI,25,22.5,2.5,-2.04,0.02,1,2018-2019,5/8/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Karnataka,7,196,Shri Venkatapura Subbaiah Ugrappa,BELLARY(ST),BALLARI,2.5,2.5,0,0.34,1.15,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Karnataka,7,197,Shri Suresh Chanabasappa Angadi,BELGAUM,BELAGAVI,25,25,0,1.6,3.74,2,2018-2019,26-07-2022,2.5,,,2014,2019,16
Kerala,7,198, P.K .Kunhalikutty,MALAPPURAM,MALAPPURAM,10,10,0,0.4,0.68,2,2018-2019,16-07-2019,2.5,,,2014,2019,16
Kerala,7,199,Dr. Anirudhan Sampath,ATTINGAL,THIRUVANANTHAPURAM,25,25,0,-0.81,0.49,2,2018-2019,11/12/18,2.5,,,2014,2019,16
Kerala,7,200,Prof. Kuruppassery Varkey Thomas,ERNAKULAM,ERNAKULAM,25,25,0,-1.76,4.74,2,2018-2019,30-06-2022,2.5,,,2014,2019,16
Kerala,7,201,Shri (Adv.) Joice George,IDUKKI,IDUKKI,25,25,0,-0.55,2.52,2,2018-2019,21-03-2022,2.5,,,2014,2019,16
Kerala,7,202,Dr. Shashi Tharoor,THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,25,25,0,0.33,1.5,2,2018-2019,20-12-2019,2.5,,,2014,2019,16
Kerala,7,203,Shri E. Ahamed,MALAPPURAM,MALAPPURAM,15,15,0,0.46,0,2,2016-2017,31-01-2017,2.5,,,2014,2019,16
Kerala,7,204,Shri E. T. Mohammed Basheer,PONNANI,MALAPPURAM,25,25,0,0.18,3.09,2,2018-2019,9/3/22,2.5,,,2014,2019,16
Kerala,7,205,Shri Anto Antony,PATHANAMTHITTA,PATHANAMTHITTA,25,25,0,-0.74,1.9,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
Kerala,7,206,Shri Jose K. Mani,KOTTAYAM,KOTTAYAM,25,20,5,-0.98,2.58,2,2017-2018,10/5/22,2.5,"1 / 2018-2019,2 / 2018-2019",,2014,2019,16
Kerala,7,207,Shri K. C. Venugopal,ALAPPUZHA,ALAPPUZHA,25,25,0,-1.14,2.68,2,2018-2019,3/3/22,2.5,,,2014,2019,16
Kerala,7,208,Shri C. N. Jayadevan,THRISSUR,THRISSOOR,25,25,0,-1.05,2.25,2,2018-2019,13-03-2020,2.5,,,2014,2019,16
Kerala,7,209,Shri Innocent ,CHALAKUDY,ERNAKULAM,25,25,0,-0.59,2.73,2,2018-2019,25-02-2022,2.5,,,2014,2019,16
Kerala,7,210,Shri M. I. Shanavas,WAYANAD,WAYANAD,25,22.5,2.5,0.67,1.24,1,2018-2019,27-02-2020,2.5,2 / 2018-2019,,2014,2019,16
Kerala,7,211,Shri M. B. Rajesh,PALAKKAD,PALAKKAD,25,25,0,1.07,2.54,2,2018-2019,29-03-2022,2.5,,,2014,2019,16
Kerala,7,212,Shri P. Karunakaran,KASARAGOD,KASARAGOD,25,22.5,2.5,-2.68,0.69,1,2018-2019,13-06-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Kerala,7,213,Shri Parayamparanbil Kuttappan Biju,ALATHUR(SC),PALAKKAD,25,22.5,2.5,-2.44,2.5,1,2018-2019,29-03-2022,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Kerala,7,214,Shri M. K. Raghavan,KOZHIKODE,KOZHIKODE,25,25,0,-0.13,2.5,2,2018-2019,2/3/22,2.5,,,2014,2019,16
Kerala,7,215,Shri N.K. Premachandran,KOLLAM,KOLLAM,25,25,0,0.17,2.48,2,2018-2019,22-02-2022,2.5,,,2014,2019,16
Kerala,7,216,Shri Ramachandran Mullappally,VADAKARA,KOZHIKODE,25,22.5,2.5,-2.86,2.82,1,2018-2019,9/3/22,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Kerala,7,217,Shri Suresh Kodikunnil,MAVELIKKARA(SC),KOLLAM,25,25,0,0.63,4.69,2,2018-2019,30-06-2022,2.5,,,2014,2019,16
Kerala,7,218,Smt. P.K.Sreemathi Teacher,KANNUR,KANNUR,25,25,0,-0.33,1.59,2,2018-2019,19-03-2020,2.5,,,2014,2019,16
Lakshadweep,7,219,Shri Faizal P.P. Mohammed,LAKSHADWEEP(ST),LAKSHADWEEP,25,20,5,0.46,4.6,2,2017-2018,9/1/19,2.5,"1 / 2018-2019,2 / 2018-2019","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Madhya Pradesh,7,220,Prof. Chintamani Malviya,UJJAIN(SC),UJJAIN,25,25,0,1.16,1.38,2,2018-2019,1/2/19,2.5,,,2014,2019,16
Madhya Pradesh,7,221,Shri Alok Sanjar,BHOPAL,BHOPAL,25,25,0,0.3,4.67,2,2018-2019,25-02-2020,2.5,,,2014,2019,16
Madhya Pradesh,7,222,Dr. Bhagirath Prasad,BHIND(SC),BHIND,25,25,0,0.56,3.21,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Madhya Pradesh,7,223, Sumitra Mahajan (Tai),INDORE,INDORE,25,25,0,0.33,0.99,2,2018-2019,17-09-2018,2.5,,,2014,2019,16
Madhya Pradesh,7,224,Dr. Virendra Kumar,TIKAMGARH(SC),TIKAMGARH,25,25,0,-0.9,2.14,2,2018-2019,31-05-2019,2.5,,,2014,2019,16
Madhya Pradesh,7,225,Shri Anoop Mishra,MORENA,MORENA,25,25,0,0.78,2.57,2,2018-2019,21-08-2019,2.5,,,2014,2019,16
Madhya Pradesh,7,226,Shri Bodh Singh Bhagat,BALAGHAT,BALAGHAT,25,25,0,0.05,0.33,2,2018-2019,7/1/19,2.5,,,2014,2019,16
Madhya Pradesh,7,227,Shri Dileep Singh Bhuria,RATLAM(ST),JHABUA,5,5,0,0.81,0.81,2,2014-2015,27-11-2015,2.5,,Eligible MPR not Received.,2014,2019,16
Madhya Pradesh,7,228,Shri Jyotiraditya Madhavrao Scindia,GUNA,GUNA,25,25,0,3.45,4.97,2,2018-2019,7/1/19,2.5,,,2014,2019,16
Madhya Pradesh,7,229,Shri Faggan Singh Kulaste,MANDLA(ST),MANDLA,25,25,0,2.54,3.83,2,2018-2019,23-03-2020,2.5,,,2014,2019,16
Madhya Pradesh,7,230,Shri Gyan Singh,SHAHDOL (ST),SHAHDOL,12.5,12.5,0,2.12,3.8,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Madhya Pradesh,7,231,Shri Dalpat Singh Paraste,SHAHDOL (ST),SHAHDOL,12.5,12.5,0,2.62,2.73,1,2016-2017,16-12-2016,2.5,,,2014,2019,16
Madhya Pradesh,7,232,Shri Ganesh Singh,SATNA,SATNA,25,25,0,-0.18,0.41,2,2018-2019,27-12-2018,2.5,,,2014,2019,16
Madhya Pradesh,7,233,Shri Laxmi Narayan Yadav,SAGAR,SAGAR,25,25,0,0.16,0.58,2,2018-2019,16-08-2018,2.5,,,2014,2019,16
Madhya Pradesh,7,234,Shri Kantilal Bhuria,RATLAM(ST),JHABUA,20,17.5,2.5,-1.85,0.59,1,2018-2019,19-11-2019,2.5,2 / 2018-2019,Eligible MPR not Received.,2014,2019,16
Madhya Pradesh,7,235,Shri Janardan Mishra,REWA,REWA,25,25,0,4.22,5.93,2,2018-2019,15-01-2019,2.5,,,2014,2019,16
Madhya Pradesh,7,236,Shri kamal Kamal Nath,CHHINDWARA,CHHINDWARA,25,25,0,0.2,0.61,2,2018-2019,7/1/19,2.5,,,2014,2019,16
Madhya Pradesh,7,237,Shri Nand Kumar Singh Chauhan,KHANDWA,KHANDWA,25,25,0,2.14,4.05,2,2018-2019,29-10-2019,2.5,,,2014,2019,16
Madhya Pradesh,7,238,Shri Prahlad Singh Patel,DAMOH,DAMOH,25,25,0,-0.13,1.88,2,2018-2019,6/9/18,2.5,,,2014,2019,16
Madhya Pradesh,7,239,Shri Nagendra Singh,KHAJURAHO,PANNA,25,25,0,0.31,3.88,2,2018-2019,11/6/19,2.5,,,2014,2019,16
Madhya Pradesh,7,240,Shri Manhor Untwal,DEWAS(SC),DEWAS,25,25,0,0.45,0.47,2,2018-2019,4/10/18,2.5,,,2014,2019,16
Madhya Pradesh,7,241,Shri Rodmal Nagar,RAJGARH,RAJGARH,25,25,0,0.15,0.15,2,2018-2019,17-12-2018,2.5,,,2014,2019,16
Madhya Pradesh,7,242,Shri Narendra Singh Tomar,GWALIOR,GWALIOR,25,22.5,2.5,-0.69,1.69,1,2018-2019,31-07-2019,2.5,2 / 2018-2019,,2014,2019,16
Madhya Pradesh,7,243,Shri Sudheer Gupta,MANDSOUR,MANDSAUR,25,25,0,0.23,0.77,2,2018-2019,17-09-2019,2.5,,,2014,2019,16
Madhya Pradesh,7,244,Shri Rakesh Singh,JABALPUR,JABALPUR,25,25,0,0.31,0.79,2,2018-2019,10/10/19,2.5,,,2014,2019,16
Madhya Pradesh,7,245,Shri Uday Pratap Singh,HOSHANGABAD,HOSHANGABAD,25,25,0,0.93,1.6,2,2018-2019,21-08-2019,2.5,,,2014,2019,16
Madhya Pradesh,7,246,Smt. Jyoti Dhurve,BETUL(ST),BETUL,25,22.5,2.5,0.88,1.46,1,2018-2019,15-11-2019,2.5,2 / 2018-2019,,2014,2019,16
Madhya Pradesh,7,247,Shri Subhash Patel,KHARGONE(ST),KHARGAON,25,25,0,-0.04,0,2,2018-2019,8/7/19,2.5,,,2014,2019,16
Madhya Pradesh,7,248,Smt. Riti Pathak,SIDHI,SIDHI,25,25,0,1.05,3.09,2,2018-2019,1/10/19,2.5,,,2014,2019,16
Madhya Pradesh,7,249,Smt. Savitri Thakur,DHAR(ST),DHAR,25,25,0,0.46,0.59,2,2018-2019,27-12-2018,2.5,,,2014,2019,16
Madhya Pradesh,7,250,Smt. Sushma Swaraj,VIDISHA,RAISEN,25,25,0,2.2,3.44,2,2018-2019,8/2/19,2.5,,,2014,2019,16
Maharashtra,7,251,Dr. Subhash Ramrao Bhamre,DHULE,DHULE,25,22.5,2.5,-0.97,2.81,1,2018-2019,14-03-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,252,Dr. Kirit Somaiya,MUMBAI NORTH EAST,MUMBAI SUBURBAN,25,25,0,-3.35,0.5,2,2018-2019,7/2/19,2.5,,,2014,2019,16
